id,attachments,context_annotations,conversation_id,created_at,account_id,in_reply_to_user_id,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,source,text,mentions,hashtags,urls
1498087153515044866,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1484601166080081920', 'name': 'Russo-Ukrainian conflict'}}]",1498087153515044866,2022-02-28T00:06:25.000Z,2735181954,,en,4754.0,0.0,0.0,0.0,everyone,Twitter for iPhone,RT @Ukraine: @P____nut cauz they’re cool,"['Ukraine', 'P____nut']",[],[]
1498086934417182723,,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1484601166080081920', 'name': 'Russo-Ukrainian conflict'}}]",1498086934417182723,2022-02-28T00:05:32.000Z,2735181954,,en,19030.0,0.0,0.0,0.0,everyone,Twitter for iPhone,RT @Ukraine: Tag @Russia and tell them what you think about them,"['Ukraine', 'Russia']",[],[]
1486054007827312644,{'media_keys': ['3_1486054003180019714']},"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}]",1486032789162057736,2022-01-25T19:10:59.000Z,2735181954,1109893099235524609,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPhone,"@SergioxGomez_ Sick nft, looks like mine! https://t.co/4DjbRHxPsT",['SergioxGomez_'],[],['https://twitter.com/Its_Swifty/status/1486054007827312644/photo/1']
1482032764320952320,{'media_keys': ['7_1482008614835523589']},"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1225862139132309504', 'name': 'Pete Davidson'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1225862139132309504', 'name': 'Pete Davidson'}}]",1482032764320952320,2022-01-14T16:52:00.000Z,2735181954,,en,194.0,0.0,0.0,0.0,everyone,Twitter for iPhone,"RT @SquirtReynoIds: Kanye disses Pete Davidson on his new song ""My Life Was Never Eazy"" 😬 https://t.co/4sfmhBPiKK",['SquirtReynoids'],[],['https://twitter.com/SquirtReynoIds/status/1482008667625037825/video/1']
1471268318589947909,{'media_keys': ['3_1471266647943966724']},,1471268318589947909,2021-12-15T23:57:56.000Z,2735181954,,und,28.0,0.0,0.0,0.0,everyone,Twitter for iPhone,RT @EVGA_JacobF: 😲 https://t.co/G8mbdzU9Mb,['EVGA_JacobF'],[],['https://twitter.com/EVGA_JacobF/status/1471266662209171457/photo/1']
1460675386266816518,{'media_keys': ['16_1460675380981944322']},,1460675386266816518,2021-11-16T18:25:24.000Z,2735181954,,en,0.0,1.0,0.0,0.0,everyone,Twitter for iPhone,"https://t.co/axZqsUCDQT

Never abandon your family got me feeling some type of way for no reason! https://t.co/13XkMZw0Ag",[],[],"['https://youtu.be/GKuVipCSp_A', 'https://twitter.com/Its_Swifty/status/1460675386266816518/photo/1']"
1460141057451118592,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '995960834009399296', 'name': 'André 3000', 'description': 'André 3000'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '995960834009399296', 'name': 'André 3000', 'description': 'André 3000'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}]",1460141057451118592,2021-11-15T07:02:10.000Z,2735181954,,en,466.0,0.0,0.0,0.0,everyone,Twitter for iPhone,RT @HipHopNumbers: We just got Kanye West x Andre 3000 today is such a great day,['HipHopNumbers'],[],[]
1460138609701437446,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '807324589298622464', 'name': 'Tyler The Creator', 'description': 'Tyler The Creator'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '995960834009399296', 'name': 'André 3000', 'description': 'André 3000'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070725793762820096', 'name': 'Kid Cudi', 'description': 'American rapper, singer, songwriter, guitarist and actor from Ohio'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '807324589298622464', 'name': 'Tyler The Creator', 'description': 'Tyler The Creator'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '995960834009399296', 'name': 'André 3000', 'description': 'André 3000'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1070725793762820096', 'name': 'Kid Cudi', 'description': 'American rapper, singer, songwriter, guitarist and actor from Ohio'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}]",1460138609701437446,2021-11-15T06:52:27.000Z,2735181954,,en,1068.0,0.0,0.0,0.0,everyone,Twitter for iPhone,"RT @TheKanyeSource: What #DONDA (Deluxe) contains:

Life of the Party (Andre 3000)

Tyler the Creator on Come to Life

Kid Cudi on Remote C…",['TheKanyeSource'],['DONDA'],[]
1460138397792669702,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '995960834009399296', 'name': 'André 3000', 'description': 'André 3000'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '995960834009399296', 'name': 'André 3000', 'description': 'André 3000'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}]",1460138397792669702,2021-11-15T06:51:36.000Z,2735181954,,en,817.0,0.0,0.0,0.0,everyone,Twitter for iPhone,"RT @RapCaviar: Five new songs on the Donda Deluxe:

- Life of the Party (feat. André 3000)
- Up From the Ashes
- Remote Control pt 2 (feat.…",['RapCaviar'],[],[]
1460137933411860481,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806561823407239169', 'name': 'Kanye West', 'description': 'Kanye West'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810937888334487552', 'name': 'Rap', 'description': 'Hip-Hop/Rap'}}]",1460137933411860481,2021-11-15T06:49:46.000Z,2735181954,,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPhone,Wait how come I’m just finding out about the donda Deluxe album?,[],[],[]
